"";"data.classe";"data.classe.n"
"1";"II";8
"2";"V";16
"3";"III";9
"4";"Faceta";5
"5";"III";9
"6";"Faceta";5
"7";"III";9
"8";"II";8
"9";"II";8
"10";"Reconstituição";14
"11";"II";8
"12";"II";8
"13";"II";8
"14";"V";16
"15";"V";16
"16";"V";16
"17";"Veneer";18
"18";"Veneer";18
"19";"II";8
"20";"V";16
"21";"V";16
"22";"II";8
"23";"Veneer";18
"24";"III";9
"25";"II";8
"26";"V";16
"27";"II";8
"28";"V";16
"29";"II";8
"30";"II";8
"31";"Veneer";18
"32";"V";16
"33";"Veneer";18
"34";"Veneer";18
"35";"II";8
"36";"V";16
"37";"Veneer";18
"38";"Veneer";18
"39";"Veneer";18
"40";NA;NA
"41";"II";8
"42";"Aumento incisal";1
"43";NA;NA
"44";NA;NA
"45";NA;NA
"46";"V";16
"47";"II";8
"48";"Reconstituição";14
"49";"Veneer";18
"50";"IV";11
"51";"II";8
"52";"II";8
"53";"IV";11
"54";"I";6
"55";"I";6
"56";"I";6
"57";"Reconstituição";14
"58";"I";6
"59";"I";6
"60";"II";8
"61";"II";8
"62";"II";8
"63";"I";6
"64";"I";6
"65";"Veneer";18
"66";"Reconstituição";14
"67";"Reconstituição";14
"68";"V";16
"69";"II";8
"70";"Reconstituição";14
"71";"I";6
"72";"I";6
"73";"II";8
"74";"II";8
"75";"I";6
"76";"I";6
"77";"I";6
"78";"I";6
"79";"I";6
"80";"Veneer";18
"81";"I";6
"82";"I";6
"83";"V";16
"84";"II";8
"85";"Veneer";18
"86";"Veneer";18
"87";"Veneer";18
"88";"Veneer";18
"89";"V";16
"90";"V";16
"91";"V";16
"92";"Veneer";18
"93";NA;NA
"94";"Veneer";18
"95";"Veneer";18
"96";"V";16
"97";"Veneer";18
"98";"Veneer";18
"99";NA;NA
"100";NA;NA
"101";"Veneer";18
"102";"Veneer";18
"103";NA;NA
"104";NA;NA
"105";NA;NA
"106";"Veneer";18
"107";NA;NA
"108";NA;NA
"109";"Veneer";18
"110";NA;NA
"111";NA;NA
"112";"Veneer";18
"113";NA;NA
"114";NA;NA
"115";NA;NA
"116";"Veneer";18
"117";"Veneer";18
"118";"III";9
"119";NA;NA
"120";NA;NA
"121";NA;NA
"122";"Veneer";18
"123";"Veneer";18
"124";NA;NA
"125";"III";9
"126";"Veneer";18
"127";"III";9
"128";NA;NA
"129";NA;NA
"130";NA;NA
"131";"Veneer";18
"132";"II";8
"133";NA;NA
"134";NA;NA
"135";"V";16
"136";"Veneer";18
"137";"II";8
"138";"I";6
"139";"II";8
"140";"V";16
"141";"Veneer";18
"142";"V";16
"143";"Reconstituição";14
"144";NA;NA
"145";"II";8
"146";"Veneer";18
"147";"II";8
"148";"V";16
"149";NA;NA
"150";"Veneer";18
"151";"V";16
"152";"Veneer";18
"153";"Veneer";18
"154";"V";16
"155";NA;NA
"156";"Veneer";18
"157";"V";16
"158";"V";16
"159";"V";16
"160";"Reconstituição";14
"161";"II";8
"162";"Reconstituição";14
"163";"II";8
"164";"Reconstituição";14
"165";"Reconstituição";14
"166";"V";16
"167";"II";8
"168";"II";8
"169";"II";8
"170";"II";8
"171";"II";8
"172";"V";16
"173";"II";8
"174";"II";8
"175";"II";8
"176";"II";8
"177";"II";8
"178";"II";8
"179";"II";8
"180";"IV";11
"181";"IV";11
"182";"I";6
"183";"II";8
"184";"V";16
"185";"Veneer";18
"186";"V";16
"187";"V";16
"188";"Veneer";18
"189";"Veneer";18
"190";"Veneer";18
"191";"Veneer";18
"192";"Veneer";18
"193";"II";8
"194";"II";8
"195";"Reconstituição";14
"196";"II";8
"197";"Veneer";18
"198";"Veneer";18
"199";"Veneer";18
"200";"III";9
"201";NA;NA
"202";"Veneer";18
"203";"Veneer";18
"204";"Veneer";18
"205";"Veneer";18
"206";"Veneer";18
"207";"III";9
"208";"Veneer";18
"209";"III";9
"210";"Veneer";18
"211";"III";9
"212";"III";9
"213";"Veneer";18
"214";NA;NA
"215";NA;NA
"216";"Veneer";18
"217";NA;NA
"218";NA;NA
"219";"II";8
